Team,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Win,Loss,Season,Season Type,Match Count
New Jersey Nets,0.452,0.488,0.249,0.258,0.15,0.166,0.257,0.3,26,56,2000-2001,REG,82
Charlotte Hornets,0.457,0.456,0.246,0.222,0.151,0.154,0.298,0.255,46,36,2000-2001,REG,82
New York Knicks,0.476,0.453,0.222,0.24,0.158,0.159,0.242,0.257,48,34,2000-2001,REG,82
Seattle SuperSonics,0.491,0.488,0.219,0.2,0.159,0.155,0.291,0.302,44,38,2000-2001,REG,82
Orlando Magic,0.474,0.464,0.215,0.29,0.157,0.171,0.291,0.302,43,39,2000-2001,REG,82
Philadelphia 76ers,0.468,0.46,0.262,0.186,0.163,0.161,0.312,0.275,56,26,2000-2001,REG,82
Phoenix Suns,0.46,0.46,0.221,0.252,0.157,0.18,0.273,0.263,51,31,2000-2001,REG,82
Portland Trailblazers,0.497,0.47,0.226,0.223,0.165,0.159,0.3,0.276,50,32,2000-2001,REG,82
Sacramento Kings,0.484,0.461,0.23,0.181,0.149,0.161,0.272,0.293,55,27,2000-2001,REG,82
San Antonio Spurs,0.496,0.444,0.267,0.182,0.148,0.143,0.271,0.263,58,24,2000-2001,REG,82
Toronto Raptors,0.468,0.476,0.213,0.212,0.138,0.145,0.308,0.268,47,35,2000-2001,REG,82
Utah Jazz,0.497,0.473,0.273,0.301,0.168,0.172,0.302,0.268,53,29,2000-2001,REG,82
Washington Wizards,0.46,0.503,0.264,0.236,0.174,0.155,0.297,0.282,19,63,2000-2001,REG,82
Dallas Mavericks,0.436,0.491,0.269,0.256,0.125,0.145,0.27,0.303,4,6,2000-2001,POFF,10
Indiana Pacers,0.436,0.451,0.188,0.28,0.137,0.121,0.278,0.333,1,3,2000-2001,POFF,4
Los Angeles Lakers,0.505,0.433,0.254,0.249,0.148,0.147,0.33,0.259,15,1,2000-2001,POFF,16
Miami Heat,0.458,0.496,0.181,0.363,0.167,0.143,0.181,0.316,0,3,2000-2001,POFF,3
Milwaukee Bucks,0.475,0.447,0.232,0.242,0.13,0.119,0.294,0.318,10,8,2000-2001,POFF,18
Minnesota Timberwolves,0.397,0.47,0.195,0.257,0.126,0.151,0.214,0.274,1,3,2000-2001,POFF,4
Charlotte Hornets,0.462,0.47,0.301,0.2,0.126,0.135,0.319,0.239,6,4,2000-2001,POFF,10
New York Knicks,0.501,0.462,0.261,0.231,0.16,0.157,0.206,0.335,2,3,2000-2001,POFF,5
Orlando Magic,0.479,0.453,0.187,0.334,0.114,0.123,0.274,0.367,1,3,2000-2001,POFF,4
Philadelphia 76ers,0.446,0.486,0.253,0.201,0.132,0.144,0.325,0.288,12,11,2000-2001,POFF,23
Phoenix Suns,0.404,0.434,0.182,0.282,0.129,0.178,0.277,0.342,1,3,2000-2001,POFF,4
Portland Trailblazers,0.454,0.488,0.258,0.238,0.161,0.128,0.221,0.344,0,3,2000-2001,POFF,3
Sacramento Kings,0.432,0.448,0.272,0.256,0.169,0.143,0.32,0.301,3,5,2000-2001,POFF,8
San Antonio Spurs,0.475,0.441,0.253,0.195,0.149,0.123,0.26,0.283,7,6,2000-2001,POFF,13
Toronto Raptors,0.481,0.479,0.198,0.262,0.145,0.153,0.308,0.28,6,6,2000-2001,POFF,12
Utah Jazz,0.447,0.468,0.257,0.332,0.134,0.142,0.303,0.25,2,3,2000-2001,POFF,5
Atlanta Hawks,0.471,0.495,0.225,0.218,0.158,0.155,0.275,0.291,33,49,2001-2002,REG,82
Boston Celtics,0.476,0.464,0.223,0.245,0.142,0.168,0.241,0.271,49,33,2001-2002,REG,82
Chicago Bulls,0.456,0.497,0.218,0.24,0.156,0.15,0.266,0.286,21,61,2001-2002,REG,82
Cleveland Cavaliers,0.477,0.493,0.232,0.226,0.151,0.136,0.289,0.272,29,53,2001-2002,REG,82
Dallas Mavericks,0.507,0.485,0.232,0.239,0.124,0.146,0.261,0.293,57,25,2001-2002,REG,82
Denver Nuggets,0.455,0.492,0.19,0.245,0.152,0.151,0.306,0.301,27,55,2001-2002,REG,82
Detroit Pistons,0.497,0.474,0.235,0.206,0.154,0.163,0.244,0.295,50,32,2001-2002,REG,82
Golden State Warriors,0.452,0.488,0.242,0.232,0.17,0.145,0.353,0.306,21,61,2001-2002,REG,82
Houston Rockets,0.465,0.491,0.212,0.178,0.146,0.129,0.29,0.302,28,54,2001-2002,REG,82
Indiana Pacers,0.477,0.469,0.253,0.227,0.156,0.147,0.27,0.29,42,40,2001-2002,REG,82
Los Angeles Clippers,0.476,0.477,0.225,0.194,0.155,0.136,0.313,0.301,39,43,2001-2002,REG,82
Los Angeles Lakers,0.498,0.453,0.218,0.233,0.131,0.145,0.288,0.28,58,24,2001-2002,REG,82
Memphis Grizzlies,0.462,0.486,0.204,0.197,0.172,0.154,0.278,0.32,23,59,2001-2002,REG,82
Miami Heat,0.463,0.455,0.194,0.249,0.159,0.148,0.266,0.26,36,46,2001-2002,REG,82
Milwaukee Bucks,0.507,0.477,0.201,0.218,0.148,0.132,0.257,0.291,41,41,2001-2002,REG,82
Minnesota Timberwolves,0.49,0.482,0.203,0.218,0.143,0.139,0.313,0.263,50,32,2001-2002,REG,82
New Jersey Nets,0.476,0.459,0.206,0.213,0.154,0.164,0.292,0.284,52,30,2001-2002,REG,82
Charlotte Hornets,0.466,0.465,0.238,0.226,0.15,0.146,0.306,0.278,44,38,2001-2002,REG,82
New York Knicks,0.468,0.479,0.216,0.236,0.156,0.143,0.256,0.281,30,52,2001-2002,REG,82
Seattle SuperSonics,0.505,0.485,0.189,0.206,0.147,0.164,0.294,0.319,45,37,2001-2002,REG,82
Orlando Magic,0.493,0.486,0.21,0.215,0.141,0.161,0.263,0.308,44,38,2001-2002,REG,82
Philadelphia 76ers,0.452,0.46,0.255,0.208,0.16,0.156,0.317,0.279,43,39,2001-2002,REG,82
Phoenix Suns,0.472,0.476,0.18,0.227,0.154,0.159,0.301,0.298,36,46,2001-2002,REG,82
Portland Trailblazers,0.485,0.489,0.218,0.202,0.151,0.155,0.318,0.267,49,33,2001-2002,REG,82
Sacramento Kings,0.497,0.467,0.231,0.185,0.139,0.152,0.279,0.283,61,21,2001-2002,REG,82
San Antonio Spurs,0.492,0.453,0.262,0.189,0.152,0.151,0.272,0.281,58,24,2001-2002,REG,82
Toronto Raptors,0.463,0.471,0.189,0.237,0.152,0.163,0.314,0.299,42,40,2001-2002,REG,82
Utah Jazz,0.472,0.484,0.291,0.286,0.173,0.177,0.335,0.283,44,38,2001-2002,REG,82
Washington Wizards,0.464,0.484,0.214,0.214,0.137,0.146,0.308,0.286,37,45,2001-2002,REG,82
Boston Celtics,0.469,0.45,0.226,0.253,0.15,0.156,0.25,0.249,9,7,2001-2002,POFF,16
Dallas Mavericks,0.499,0.493,0.24,0.288,0.121,0.144,0.242,0.324,4,4,2001-2002,POFF,8
Detroit Pistons,0.454,0.446,0.22,0.202,0.161,0.169,0.229,0.28,4,6,2001-2002,POFF,10
Indiana Pacers,0.489,0.448,0.226,0.205,0.181,0.156,0.215,0.242,2,3,2001-2002,POFF,5
Los Angeles Lakers,0.482,0.455,0.252,0.231,0.144,0.137,0.291,0.271,15,4,2001-2002,POFF,19
Minnesota Timberwolves,0.475,0.521,0.309,0.277,0.157,0.094,0.303,0.192,0,3,2001-2002,POFF,3
New Jersey Nets,0.457,0.472,0.235,0.277,0.149,0.16,0.275,0.277,11,9,2001-2002,POFF,20
Charlotte Hornets,0.449,0.454,0.289,0.291,0.146,0.14,0.332,0.266,4,5,2001-2002,POFF,9
Seattle SuperSonics,0.46,0.503,0.163,0.263,0.121,0.107,0.266,0.273,2,3,2001-2002,POFF,5
Orlando Magic,0.451,0.445,0.293,0.31,0.123,0.132,0.208,0.341,1,3,2001-2002,POFF,4
Philadelphia 76ers,0.44,0.541,0.329,0.184,0.152,0.153,0.299,0.235,2,3,2001-2002,POFF,5
Portland Trailblazers,0.423,0.487,0.268,0.327,0.154,0.143,0.269,0.226,0,3,2001-2002,POFF,3
Sacramento Kings,0.478,0.46,0.269,0.222,0.15,0.147,0.294,0.304,10,6,2001-2002,POFF,16
San Antonio Spurs,0.465,0.466,0.266,0.175,0.123,0.124,0.266,0.276,4,6,2001-2002,POFF,10
Toronto Raptors,0.444,0.468,0.197,0.281,0.178,0.164,0.321,0.257,2,3,2001-2002,POFF,5
Utah Jazz,0.437,0.436,0.233,0.336,0.17,0.193,0.337,0.309,1,3,2001-2002,POFF,4
Atlanta Hawks,0.476,0.469,0.248,0.222,0.172,0.134,0.279,0.296,35,47,2002-2003,REG,82
Boston Celtics,0.47,0.471,0.227,0.242,0.147,0.167,0.236,0.275,44,38,2002-2003,REG,82
Chicago Bulls,0.471,0.47,0.217,0.263,0.171,0.15,0.277,0.305,30,52,2002-2003,REG,82
Cleveland Cavaliers,0.444,0.484,0.223,0.252,0.183,0.143,0.31,0.268,17,65,2002-2003,REG,82
Dallas Mavericks,0.498,0.473,0.213,0.221,0.119,0.165,0.254,0.291,60,22,2002-2003,REG,82
Denver Nuggets,0.428,0.477,0.198,0.291,0.19,0.179,0.313,0.267,17,65,2002-2003,REG,82
Detroit Pistons,0.473,0.461,0.248,0.225,0.144,0.152,0.259,0.26,50,32,2002-2003,REG,82
Golden State Warriors,0.472,0.482,0.267,0.22,0.16,0.139,0.35,0.321,38,44,2002-2003,REG,82
Houston Rockets,0.474,0.462,0.243,0.209,0.162,0.14,0.303,0.276,43,39,2002-2003,REG,82
Indiana Pacers,0.469,0.458,0.263,0.228,0.151,0.159,0.29,0.277,48,34,2002-2003,REG,82
Los Angeles Clippers,0.467,0.481,0.252,0.222,0.165,0.146,0.291,0.298,27,55,2002-2003,REG,82
Los Angeles Lakers,0.486,0.477,0.228,0.241,0.15,0.148,0.302,0.273,50,32,2002-2003,REG,82
Memphis Grizzlies,0.487,0.491,0.212,0.197,0.158,0.152,0.27,0.314,28,54,2002-2003,REG,82
Miami Heat,0.439,0.47,0.198,0.257,0.151,0.154,0.268,0.261,25,57,2002-2003,REG,82
Milwaukee Bucks,0.5,0.494,0.222,0.237,0.132,0.149,0.256,0.301,42,40,2002-2003,REG,82
Minnesota Timberwolves,0.488,0.472,0.207,0.203,0.144,0.14,0.282,0.272,51,31,2002-2003,REG,82
New Jersey Nets,0.468,0.46,0.252,0.225,0.157,0.172,0.287,0.269,49,33,2002-2003,REG,82
New Orleans Hornets,0.465,0.464,0.219,0.226,0.155,0.156,0.317,0.269,47,35,2002-2003,REG,82
New York Knicks,0.486,0.485,0.196,0.261,0.148,0.151,0.244,0.282,37,45,2002-2003,REG,82
Seattle SuperSonics,0.472,0.484,0.201,0.21,0.141,0.159,0.281,0.282,40,42,2002-2003,REG,82
Orlando Magic,0.478,0.486,0.239,0.25,0.148,0.167,0.27,0.289,42,40,2002-2003,REG,82
Philadelphia 76ers,0.466,0.488,0.263,0.243,0.152,0.178,0.303,0.273,48,34,2002-2003,REG,82
Phoenix Suns,0.473,0.47,0.211,0.222,0.154,0.164,0.297,0.297,44,38,2002-2003,REG,82
Portland Trailblazers,0.489,0.483,0.223,0.194,0.161,0.163,0.302,0.277,50,32,2002-2003,REG,82
Sacramento Kings,0.499,0.446,0.196,0.204,0.148,0.151,0.256,0.294,59,23,2002-2003,REG,82
San Antonio Spurs,0.497,0.453,0.253,0.199,0.169,0.158,0.288,0.287,60,22,2002-2003,REG,82
Toronto Raptors,0.458,0.489,0.203,0.226,0.149,0.146,0.282,0.293,24,58,2002-2003,REG,82
Utah Jazz,0.486,0.468,0.283,0.256,0.177,0.17,0.325,0.298,47,35,2002-2003,REG,82
Washington Wizards,0.46,0.477,0.253,0.212,0.142,0.152,0.273,0.284,37,45,2002-2003,REG,82
Boston Celtics,0.477,0.449,0.243,0.311,0.151,0.157,0.208,0.27,4,6,2002-2003,POFF,10
Dallas Mavericks,0.503,0.494,0.203,0.286,0.127,0.139,0.25,0.296,10,10,2002-2003,POFF,20
Detroit Pistons,0.455,0.459,0.308,0.253,0.143,0.165,0.255,0.294,8,9,2002-2003,POFF,17
Indiana Pacers,0.422,0.492,0.331,0.251,0.148,0.128,0.294,0.208,2,4,2002-2003,POFF,6
Los Angeles Lakers,0.491,0.5,0.222,0.251,0.142,0.138,0.279,0.238,6,6,2002-2003,POFF,12
Milwaukee Bucks,0.499,0.494,0.233,0.306,0.137,0.168,0.21,0.347,2,4,2002-2003,POFF,6
Minnesota Timberwolves,0.492,0.498,0.257,0.211,0.154,0.119,0.226,0.291,2,4,2002-2003,POFF,6
New Jersey Nets,0.453,0.464,0.256,0.252,0.162,0.162,0.309,0.233,14,6,2002-2003,POFF,20
New Orleans Hornets,0.479,0.471,0.244,0.306,0.153,0.155,0.315,0.315,2,4,2002-2003,POFF,6
Orlando Magic,0.459,0.462,0.279,0.328,0.167,0.139,0.247,0.308,3,4,2002-2003,POFF,7
Philadelphia 76ers,0.468,0.473,0.277,0.268,0.162,0.149,0.313,0.277,6,6,2002-2003,POFF,12
Phoenix Suns,0.414,0.438,0.189,0.302,0.168,0.19,0.278,0.326,2,4,2002-2003,POFF,6
Portland Trailblazers,0.501,0.507,0.28,0.228,0.154,0.126,0.363,0.273,3,4,2002-2003,POFF,7
Sacramento Kings,0.499,0.495,0.265,0.216,0.144,0.149,0.293,0.294,7,5,2002-2003,POFF,12
San Antonio Spurs,0.476,0.439,0.284,0.216,0.159,0.158,0.286,0.266,16,8,2002-2003,POFF,24
Utah Jazz,0.446,0.516,0.303,0.272,0.216,0.188,0.354,0.347,1,4,2002-2003,POFF,5
Atlanta Hawks,0.465,0.476,0.235,0.234,0.168,0.143,0.286,0.295,28,54,2003-2004,REG,82
Boston Celtics,0.486,0.479,0.245,0.24,0.168,0.174,0.252,0.305,36,46,2003-2004,REG,82
Chicago Bulls,0.446,0.469,0.197,0.253,0.164,0.156,0.281,0.286,23,59,2003-2004,REG,82
Cleveland Cavaliers,0.451,0.469,0.226,0.221,0.156,0.135,0.311,0.271,35,47,2003-2004,REG,82
Dallas Mavericks,0.495,0.498,0.204,0.214,0.125,0.153,0.314,0.285,52,30,2003-2004,REG,82
Denver Nuggets,0.467,0.481,0.245,0.221,0.156,0.175,0.305,0.307,43,39,2003-2004,REG,82
Detroit Pistons,0.461,0.441,0.247,0.202,0.162,0.166,0.301,0.282,54,28,2003-2004,REG,82
Golden State Warriors,0.475,0.476,0.226,0.211,0.155,0.148,0.284,0.279,37,45,2003-2004,REG,82
Houston Rockets,0.484,0.447,0.221,0.233,0.178,0.144,0.265,0.255,45,37,2003-2004,REG,82
Indiana Pacers,0.471,0.459,0.243,0.218,0.154,0.172,0.285,0.261,61,21,2003-2004,REG,82
Los Angeles Clippers,0.453,0.494,0.275,0.231,0.17,0.142,0.328,0.3,28,54,2003-2004,REG,82
Los Angeles Lakers,0.481,0.471,0.244,0.222,0.144,0.156,0.281,0.267,56,26,2003-2004,REG,82
Memphis Grizzlies,0.479,0.465,0.234,0.251,0.156,0.174,0.295,0.316,50,32,2003-2004,REG,82
Miami Heat,0.463,0.463,0.227,0.26,0.148,0.16,0.274,0.266,42,40,2003-2004,REG,82
Milwaukee Bucks,0.477,0.485,0.255,0.213,0.14,0.147,0.276,0.282,41,41,2003-2004,REG,82
Minnesota Timberwolves,0.486,0.444,0.207,0.215,0.137,0.144,0.267,0.275,58,24,2003-2004,REG,82
New Jersey Nets,0.471,0.46,0.219,0.221,0.157,0.169,0.259,0.261,47,35,2003-2004,REG,82
New Orleans Hornets,0.46,0.476,0.22,0.218,0.156,0.163,0.306,0.287,41,41,2003-2004,REG,82
New York Knicks,0.474,0.461,0.211,0.259,0.168,0.145,0.28,0.272,39,43,2003-2004,REG,82
Seattle SuperSonics,0.501,0.487,0.207,0.237,0.152,0.156,0.272,0.315,37,45,2003-2004,REG,82
Orlando Magic,0.461,0.502,0.218,0.214,0.141,0.141,0.281,0.313,21,61,2003-2004,REG,82
Philadelphia 76ers,0.456,0.467,0.242,0.231,0.165,0.162,0.282,0.293,33,49,2003-2004,REG,82
Phoenix Suns,0.475,0.482,0.209,0.24,0.158,0.162,0.266,0.301,29,53,2003-2004,REG,82
Portland Trailblazers,0.478,0.482,0.195,0.186,0.158,0.148,0.312,0.3,41,41,2003-2004,REG,82
Sacramento Kings,0.507,0.483,0.242,0.193,0.144,0.153,0.261,0.302,55,27,2003-2004,REG,82
San Antonio Spurs,0.473,0.433,0.219,0.215,0.158,0.163,0.295,0.254,57,25,2003-2004,REG,82
Toronto Raptors,0.454,0.449,0.195,0.241,0.151,0.157,0.238,0.299,33,49,2003-2004,REG,82
Utah Jazz,0.456,0.468,0.266,0.319,0.175,0.17,0.341,0.276,42,40,2003-2004,REG,82
Washington Wizards,0.454,0.486,0.241,0.214,0.179,0.166,0.307,0.305,25,57,2003-2004,REG,82
Boston Celtics,0.445,0.501,0.309,0.195,0.207,0.141,0.231,0.278,0,4,2003-2004,POFF,4
Dallas Mavericks,0.422,0.481,0.189,0.204,0.133,0.164,0.367,0.284,1,4,2003-2004,POFF,5
Denver Nuggets,0.452,0.503,0.135,0.253,0.153,0.172,0.317,0.242,1,4,2003-2004,POFF,5
Detroit Pistons,0.439,0.423,0.263,0.227,0.158,0.164,0.302,0.254,16,7,2003-2004,POFF,23
Houston Rockets,0.458,0.458,0.22,0.226,0.176,0.114,0.24,0.223,1,4,2003-2004,POFF,5
Indiana Pacers,0.448,0.422,0.242,0.27,0.151,0.173,0.255,0.256,10,6,2003-2004,POFF,16
Los Angeles Lakers,0.477,0.456,0.229,0.237,0.139,0.155,0.244,0.278,13,9,2003-2004,POFF,22
Memphis Grizzlies,0.45,0.561,0.252,0.233,0.161,0.187,0.238,0.315,0,4,2003-2004,POFF,4
Miami Heat,0.438,0.441,0.246,0.269,0.152,0.176,0.268,0.276,6,7,2003-2004,POFF,13
Milwaukee Bucks,0.447,0.494,0.206,0.24,0.176,0.153,0.258,0.317,1,4,2003-2004,POFF,5
Minnesota Timberwolves,0.479,0.463,0.236,0.211,0.159,0.135,0.242,0.267,10,8,2003-2004,POFF,18
New Jersey Nets,0.454,0.419,0.303,0.245,0.187,0.162,0.265,0.28,7,4,2003-2004,POFF,11
New Orleans Hornets,0.414,0.439,0.234,0.226,0.184,0.152,0.291,0.279,3,4,2003-2004,POFF,7
New York Knicks,0.411,0.505,0.228,0.333,0.166,0.201,0.263,0.261,0,4,2003-2004,POFF,4
Sacramento Kings,0.46,0.447,0.227,0.208,0.146,0.151,0.248,0.307,7,5,2003-2004,POFF,12
San Antonio Spurs,0.485,0.482,0.202,0.256,0.171,0.163,0.301,0.229,6,4,2003-2004,POFF,10
Atlanta Hawks,0.464,0.513,0.212,0.289,0.165,0.154,0.307,0.279,13,69,2004-2005,REG,82
Boston Celtics,0.501,0.481,0.273,0.274,0.163,0.156,0.273,0.299,45,37,2004-2005,REG,82
Charlotte Bobcats,0.455,0.497,0.217,0.269,0.148,0.164,0.295,0.291,18,64,2004-2005,REG,82
Chicago Bulls,0.471,0.454,0.233,0.262,0.173,0.16,0.284,0.274,47,35,2004-2005,REG,82
Cleveland Cavaliers,0.47,0.485,0.244,0.248,0.144,0.156,0.325,0.285,42,40,2004-2005,REG,82
Dallas Mavericks,0.492,0.472,0.273,0.239,0.138,0.158,0.286,0.298,58,24,2004-2005,REG,82
Denver Nuggets,0.483,0.482,0.267,0.247,0.154,0.167,0.284,0.283,49,33,2004-2005,REG,82
Detroit Pistons,0.472,0.461,0.247,0.207,0.148,0.148,0.312,0.27,54,28,2004-2005,REG,82
Golden State Warriors,0.475,0.491,0.201,0.227,0.139,0.155,0.278,0.303,34,48,2004-2005,REG,82
Houston Rockets,0.486,0.459,0.242,0.245,0.146,0.14,0.263,0.255,51,31,2004-2005,REG,82
Indiana Pacers,0.476,0.472,0.283,0.261,0.151,0.152,0.264,0.287,44,38,2004-2005,REG,82
Los Angeles Clippers,0.477,0.48,0.278,0.235,0.162,0.14,0.303,0.287,37,45,2004-2005,REG,82
Los Angeles Lakers,0.485,0.493,0.251,0.218,0.15,0.122,0.295,0.29,34,48,2004-2005,REG,82
Memphis Grizzlies,0.489,0.466,0.243,0.27,0.158,0.169,0.271,0.301,45,37,2004-2005,REG,82
Miami Heat,0.524,0.46,0.26,0.242,0.145,0.134,0.27,0.259,59,23,2004-2005,REG,82
Milwaukee Bucks,0.475,0.499,0.261,0.234,0.145,0.14,0.29,0.28,30,52,2004-2005,REG,82
Minnesota Timberwolves,0.489,0.472,0.219,0.209,0.141,0.124,0.286,0.286,44,38,2004-2005,REG,82
New Jersey Nets,0.463,0.479,0.242,0.278,0.149,0.168,0.255,0.268,42,40,2004-2005,REG,82
New Orleans Hornets,0.446,0.491,0.214,0.261,0.156,0.152,0.291,0.293,18,64,2004-2005,REG,82
New York Knicks,0.485,0.501,0.239,0.265,0.151,0.154,0.283,0.288,33,49,2004-2005,REG,82
Seattle SuperSonics,0.495,0.496,0.259,0.249,0.143,0.145,0.324,0.287,52,30,2004-2005,REG,82
Orlando Magic,0.478,0.484,0.265,0.255,0.164,0.146,0.3,0.287,36,46,2004-2005,REG,82
Philadelphia 76ers,0.475,0.485,0.257,0.267,0.157,0.17,0.255,0.273,43,39,2004-2005,REG,82
Phoenix Suns,0.534,0.478,0.222,0.176,0.139,0.137,0.275,0.317,62,20,2004-2005,REG,82
Portland Trailblazers,0.484,0.479,0.219,0.204,0.168,0.14,0.296,0.323,27,55,2004-2005,REG,82
Sacramento Kings,0.496,0.493,0.226,0.214,0.134,0.15,0.288,0.31,50,32,2004-2005,REG,82
San Antonio Spurs,0.492,0.452,0.238,0.236,0.146,0.162,0.291,0.264,59,23,2004-2005,REG,82
Toronto Raptors,0.492,0.499,0.244,0.24,0.135,0.148,0.237,0.289,33,49,2004-2005,REG,82
Utah Jazz,0.469,0.499,0.273,0.34,0.167,0.157,0.32,0.277,26,56,2004-2005,REG,82
Washington Wizards,0.474,0.498,0.264,0.23,0.147,0.161,0.311,0.3,45,37,2004-2005,REG,82
Boston Celtics,0.475,0.444,0.231,0.359,0.169,0.175,0.262,0.264,3,4,2004-2005,POFF,7
Chicago Bulls,0.472,0.472,0.266,0.321,0.153,0.147,0.3,0.297,2,4,2004-2005,POFF,6
Dallas Mavericks,0.495,0.521,0.293,0.224,0.134,0.147,0.336,0.288,6,7,2004-2005,POFF,13
