Team,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Season,Season Type,Match Count
Atlanta Hawks,2,100,14288,17052,58,2,2,7,1,1996-1997,REG,82
Boston Celtics,1,128,16196,17064,40,2,1,1,1,1996-1997,REG,82
Charlotte Hornets,2,139,24042,16617,49,0,5,2,2,1996-1997,REG,82
Chicago Bulls,2,129,23865,20060,34,0,3,7,0,1996-1997,REG,82
Cleveland Cavaliers,1,98,16895,16455,56,2,5,1,2,1996-1997,REG,82
Dallas Mavericks,1,96,15102,15895,54,2,5,0,1,1996-1997,REG,82
Denver Nuggets,3,114,11254,16678,30,3,2,2,5,1996-1997,REG,82
Detroit Pistons,6,116,20014,17281,51,0,2,1,2,1996-1997,REG,82
Golden State Warriors,2,130,15167,16140,46,2,2,1,3,1996-1997,REG,82
Houston Rockets,2,145,16285,18414,48,5,5,3,1,1996-1997,REG,82
Indiana Pacers,5,123,15530,17331,44,2,3,1,3,1996-1997,REG,82
Los Angeles Clippers,1,118,9772,16398,41,0,2,2,4,1996-1997,REG,82
Los Angeles Lakers,2,108,17004,19015,51,4,5,4,0,1996-1997,REG,82
Miami Heat,2,103,15004,17565,52,1,4,5,1,1996-1997,REG,82
Milwaukee Bucks,1,127,15514,17321,45,3,2,0,2,1996-1997,REG,82
Minnesota Timberwolves,1,122,17018,16300,49,1,1,2,5,1996-1997,REG,82
New Jersey Nets,0,133,16357,17347,40,2,3,1,5,1996-1997,REG,82
New York Knicks,2,131,19763,18434,59,3,3,3,0,1996-1997,REG,82
Orlando Magic,2,118,17722,18304,43,1,2,1,6,1996-1997,REG,82
Philadelphia 76ers,2,111,15280,17625,34,1,1,3,6,1996-1997,REG,82
Phoenix Suns,0,130,19023,16504,48,3,5,2,1,1996-1997,REG,82
Portland Trailblazers,1,138,20800,15997,43,2,6,4,1,1996-1997,REG,82
Sacramento Kings,6,114,17317,15860,54,3,2,2,2,1996-1997,REG,82
San Antonio Spurs,0,87,17235,16558,46,1,2,2,8,1996-1997,REG,82
Seattle SuperSonics,1,118,17072,17359,58,3,6,7,2,1996-1997,REG,82
Toronto Raptors,1,120,18267,16560,43,1,4,1,4,1996-1997,REG,82
Utah Jazz,1,170,19791,16888,50,1,5,6,1,1996-1997,REG,82
Vancouver Grizzlies,1,111,16571,15221,44,1,0,2,6,1996-1997,REG,82
Washington Wizards,0,135,17089,16992,46,2,0,4,2,1996-1997,REG,82
Atlanta Hawks,1,16,16261,23000,5,0,0,0,0,1996-1997,POFF,10
Charlotte Hornets,0,2,24042,19763,1,0,0,0,0,1996-1997,POFF,3
Chicago Bulls,0,16,24467,17586,11,0,3,2,0,1996-1997,POFF,19
Detroit Pistons,0,9,20757,16184,4,0,0,0,0,1996-1997,POFF,5
Houston Rockets,0,29,16285,18565,10,2,0,0,1,1996-1997,POFF,16
Los Angeles Clippers,0,3,11747,19911,2,0,0,0,1,1996-1997,POFF,3
Los Angeles Lakers,0,21,17505,20562,5,0,2,0,1,1996-1997,POFF,9
Miami Heat,0,11,14937,20841,12,0,1,1,1,1996-1997,POFF,17
Minnesota Timberwolves,0,5,19006,16285,2,0,1,0,0,1996-1997,POFF,3
New York Knicks,0,12,19763,16687,7,0,3,0,0,1996-1997,POFF,10
Orlando Magic,1,9,16902,15200,3,0,0,0,1,1996-1997,POFF,5
Phoenix Suns,0,8,19023,17072,3,0,1,0,1,1996-1997,POFF,5
Portland Trailblazers,0,9,21538,17505,2,0,0,1,0,1996-1997,POFF,4
Seattle SuperSonics,0,15,17072,17198,6,0,1,2,0,1996-1997,POFF,12
Utah Jazz,0,20,19911,18805,13,0,0,1,1,1996-1997,POFF,20
Washington Wizards,0,10,18756,24195,1,0,0,0,0,1996-1997,POFF,3
Atlanta Hawks,0,123,17450,17047,42,3,1,7,2,1997-1998,REG,82
Boston Celtics,0,103,18132,17914,55,1,4,1,3,1997-1998,REG,82
Charlotte Hornets,0,111,23406,17009,34,2,3,1,5,1997-1998,REG,82
Chicago Bulls,0,137,23986,21970,32,2,2,6,0,1997-1998,REG,82
Cleveland Cavaliers,1,105,16942,16892,57,0,3,2,3,1997-1998,REG,82
Dallas Mavericks,0,100,13208,15792,40,2,1,0,3,1997-1998,REG,82
Denver Nuggets,1,129,11800,15724,54,2,6,0,4,1997-1998,REG,82
Detroit Pistons,1,126,19380,17557,40,0,4,3,2,1997-1998,REG,82
Golden State Warriors,1,106,12201,16063,33,2,3,1,5,1997-1998,REG,82
Houston Rockets,4,140,16285,17999,31,0,8,0,5,1997-1998,REG,82
Indiana Pacers,2,107,15763,17998,33,0,3,6,0,1997-1998,REG,82
Los Angeles Clippers,1,123,9968,15851,26,1,7,0,7,1997-1998,REG,82
Los Angeles Lakers,1,147,16878,18827,43,3,2,6,0,1997-1998,REG,82
Miami Heat,0,123,14997,17574,43,0,6,6,2,1997-1998,REG,82
Milwaukee Bucks,0,112,15562,16440,48,1,2,0,3,1997-1998,REG,82
Minnesota Timberwolves,0,126,18014,16640,45,4,3,3,2,1997-1998,REG,82
New Jersey Nets,1,128,17525,16827,43,3,2,2,2,1997-1998,REG,82
New York Knicks,1,105,19763,18397,52,0,7,1,1,1997-1998,REG,82
Orlando Magic,0,122,17113,17143,35,3,0,4,1,1997-1998,REG,82
Philadelphia 76ers,0,117,15986,17403,48,1,5,0,2,1997-1998,REG,82
Phoenix Suns,2,133,19023,16540,40,1,6,3,1,1997-1998,REG,82
Portland Trailblazers,2,125,20577,16689,33,1,6,1,1,1997-1998,REG,82
Sacramento Kings,0,107,14767,16107,35,1,2,2,3,1997-1998,REG,82
San Antonio Spurs,0,112,19109,16834,46,1,3,5,1,1997-1998,REG,82
Seattle SuperSonics,0,111,17072,17021,47,2,2,6,0,1997-1998,REG,82
Toronto Raptors,0,123,16469,16571,43,3,1,0,4,1997-1998,REG,82
Utah Jazz,1,135,19900,17852,48,1,4,4,1,1997-1998,REG,82
Vancouver Grizzlies,0,140,16109,15505,41,2,5,0,7,1997-1998,REG,82
Washington Wizards,1,98,19542,16742,41,1,4,1,1,1997-1998,REG,82
Atlanta Hawks,0,1,20910,19783,3,0,0,0,0,1997-1998,POFF,4
Charlotte Hornets,0,7,21791,22670,2,0,1,0,0,1997-1998,POFF,9
Chicago Bulls,0,30,23844,19658,13,0,0,0,0,1997-1998,POFF,21
Cleveland Cavaliers,0,6,17842,16631,3,0,0,0,0,1997-1998,POFF,4
Houston Rockets,0,7,16285,19911,4,0,1,0,1,1997-1998,POFF,5
Indiana Pacers,0,19,16641,21323,6,0,0,0,0,1997-1998,POFF,16
Los Angeles Lakers,0,28,17505,19173,6,0,0,0,1,1997-1998,POFF,13
Miami Heat,0,3,15200,19763,2,0,1,1,0,1997-1998,POFF,5
Minnesota Timberwolves,0,10,19006,17072,1,0,0,0,1,1997-1998,POFF,5
New Jersey Nets,0,3,19889,23844,1,0,0,0,0,1997-1998,POFF,3
New York Knicks,0,16,19763,15960,6,0,1,0,1,1997-1998,POFF,10
Phoenix Suns,0,4,19023,24007,3,0,0,0,0,1997-1998,POFF,4
Portland Trailblazers,0,7,21587,17505,2,0,0,0,0,1997-1998,POFF,4
San Antonio Spurs,0,13,25672,19556,6,1,0,1,0,1997-1998,POFF,9
Seattle SuperSonics,1,12,17072,18256,2,0,0,1,0,1997-1998,POFF,10
Utah Jazz,1,28,19911,21532,5,0,0,2,1,1997-1998,POFF,20
Portland Trailblazers,1,73,19462,16407,23,0,3,4,0,1998-1999,REG,50
Phoenix Suns,0,59,18891,15718,16,2,4,1,1,1998-1999,REG,50
Philadelphia 76ers,4,50,17458,18336,22,1,3,2,2,1998-1999,REG,50
Orlando Magic,2,66,16444,17415,23,1,1,4,0,1998-1999,REG,50
Seattle SuperSonics,0,62,17072,16629,31,0,3,6,1,1998-1999,REG,50
New York Knicks,1,74,19763,18249,33,0,3,4,1,1998-1999,REG,50
Charlotte Hornets,0,58,19232,15568,22,1,1,2,3,1998-1999,REG,50
New Jersey Nets,0,57,16614,16640,17,1,5,0,1,1998-1999,REG,50
Minnesota Timberwolves,0,62,17119,16218,21,1,1,3,4,1998-1999,REG,50
Milwaukee Bucks,0,53,15278,16046,26,0,3,1,1,1998-1999,REG,50
Miami Heat,0,59,15153,17414,28,0,3,2,0,1998-1999,REG,50
Vancouver Grizzlies,0,84,16719,15777,22,2,3,0,3,1998-1999,REG,50
Los Angeles Lakers,0,107,17200,19449,28,2,5,0,3,1998-1999,REG,50
Los Angeles Clippers,0,80,10263,16222,18,1,2,0,2,1998-1999,REG,50
Indiana Pacers,5,70,16181,17906,18,0,6,3,0,1998-1999,REG,50
Houston Rockets,0,61,16285,17559,18,1,3,2,2,1998-1999,REG,50
Golden State Warriors,1,50,13433,15535,21,1,1,1,2,1998-1999,REG,50
Detroit Pistons,1,66,17783,17477,20,0,5,3,1,1998-1999,REG,50
Denver Nuggets,2,76,11879,16752,18,0,7,2,5,1998-1999,REG,50
Dallas Mavericks,0,66,14513,16313,22,0,4,0,2,1998-1999,REG,50
Cleveland Cavaliers,0,62,14120,17927,22,0,1,3,1,1998-1999,REG,50
Chicago Bulls,0,53,22400,15370,20,0,4,1,8,1998-1999,REG,50
Boston Celtics,0,58,17624,16617,26,1,0,3,2,1998-1999,REG,50
Atlanta Hawks,1,58,13273,16023,20,0,2,1,2,1998-1999,REG,50
Sacramento Kings,1,78,16750,16193,24,0,0,0,3,1998-1999,REG,50
San Antonio Spurs,1,79,21094,16260,23,0,4,3,0,1998-1999,REG,50
Toronto Raptors,0,61,17568,15799,20,1,3,1,3,1998-1999,REG,50
Utah Jazz,0,79,19725,17902,29,0,7,4,2,1998-1999,REG,50
Washington Wizards,0,74,16099,15675,19,1,2,1,2,1998-1999,REG,50
Portland Trailblazers,0,19,20609,24577,7,0,1,1,1,1998-1999,POFF,13
Phoenix Suns,0,6,17306,20314,2,0,0,0,1,1998-1999,POFF,3
Philadelphia 76ers,0,10,20800,16283,5,0,0,1,0,1998-1999,POFF,8
Orlando Magic,0,5,15806,20712,2,0,0,0,1,1998-1999,POFF,4
New York Knicks,1,24,19763,21506,9,0,0,0,0,1998-1999,POFF,20
Minnesota Timberwolves,0,4,16671,22425,2,0,1,0,0,1998-1999,POFF,4
Milwaukee Bucks,0,7,18717,16584,1,0,0,0,0,1998-1999,POFF,3
Miami Heat,1,5,15074,19763,4,0,2,0,0,1998-1999,POFF,5
Los Angeles Lakers,0,10,17505,22790,6,0,0,1,0,1998-1999,POFF,8
Indiana Pacers,0,20,16627,19963,6,0,0,0,0,1998-1999,POFF,13
Houston Rockets,0,4,16285,17505,0,0,0,0,1,1998-1999,POFF,4
Detroit Pistons,0,5,15514,15240,5,0,0,0,0,1998-1999,POFF,5
Atlanta Hawks,0,10,17358,17639,3,0,0,0,0,1998-1999,POFF,9
Sacramento Kings,0,6,17317,19911,5,0,0,0,1,1998-1999,POFF,5
San Antonio Spurs,0,33,31617,18790,13,0,0,0,0,1998-1999,POFF,17
Utah Jazz,0,14,19911,19360,7,0,1,2,0,1998-1999,POFF,11
Atlanta Hawks,0,105,14657,16292,33,1,4,1,2,1999-2000,REG,82
Boston Celtics,0,121,16673,16815,45,0,6,3,3,1999-2000,REG,82
Chicago Bulls,0,110,22124,16282,24,1,2,1,10,1999-2000,REG,82
Cleveland Cavaliers,0,111,14724,16642,33,1,8,1,1,1999-2000,REG,82
Dallas Mavericks,2,114,14785,15843,49,0,9,3,3,1999-2000,REG,82
Denver Nuggets,1,118,15554,16228,26,0,11,2,4,1999-2000,REG,82
Detroit Pistons,1,146,16548,17016,40,0,7,1,2,1999-2000,REG,82
Golden State Warriors,0,101,12419,15821,28,0,8,1,8,1999-2000,REG,82
Houston Rockets,2,125,15234,16795,22,0,7,1,2,1999-2000,REG,82
Indiana Pacers,6,116,18345,17119,25,1,5,5,3,1999-2000,REG,82
Los Angeles Clippers,1,99,13652,15899,34,0,4,0,2,1999-2000,REG,82
Los Angeles Lakers,0,140,18815,19461,41,1,4,2,0,1999-2000,REG,82
Vancouver Grizzlies,0,98,13899,16039,40,0,7,1,3,1999-2000,REG,82
Miami Heat,0,91,17252,16928,44,1,3,2,0,1999-2000,REG,82
Milwaukee Bucks,0,134,15332,16495,44,2,4,2,4,1999-2000,REG,82
Minnesota Timberwolves,0,94,16830,17149,32,0,5,2,0,1999-2000,REG,82
New Jersey Nets,3,129,15698,16341,20,0,2,4,1,1999-2000,REG,82
Charlotte Hornets,0,138,17874,16354,25,1,4,2,2,1999-2000,REG,82
New York Knicks,0,116,19763,18558,33,0,2,3,1,1999-2000,REG,82
Seattle SuperSonics,1,112,15018,16367,38,0,7,1,1,1999-2000,REG,82
Orlando Magic,2,124,14059,16224,47,1,2,4,0,1999-2000,REG,82
Philadelphia 76ers,1,114,18462,17332,37,1,3,2,4,1999-2000,REG,82
Phoenix Suns,0,116,18856,17107,38,0,7,5,0,1999-2000,REG,82
Portland Trailblazers,2,115,20368,17832,27,0,10,5,0,1999-2000,REG,82
Sacramento Kings,1,146,17562,18495,24,3,5,2,1,1999-2000,REG,82
San Antonio Spurs,0,125,21694,16806,30,0,3,2,2,1999-2000,REG,82
Toronto Raptors,0,96,18451,17744,39,0,5,5,4,1999-2000,REG,82
Utah Jazz,0,115,19543,17078,36,3,11,3,1,1999-2000,REG,82
Washington Wizards,0,123,15039,16167,23,0,4,2,4,1999-2000,REG,82
Detroit Pistons,0,2,14507,16500,3,0,0,0,0,1999-2000,POFF,3
Indiana Pacers,1,20,18345,19594,9,0,2,3,1,1999-2000,POFF,23
Los Angeles Lakers,1,40,18997,18840,11,1,1,1,0,1999-2000,POFF,23
Miami Heat,0,7,18869,18449,7,0,0,0,0,1999-2000,POFF,10
Milwaukee Bucks,0,4,18395,18345,1,0,1,0,0,1999-2000,POFF,5
Minnesota Timberwolves,0,2,19006,19980,3,0,0,0,0,1999-2000,POFF,4
Charlotte Hornets,0,3,13355,20781,2,0,0,0,0,1999-2000,POFF,4
New York Knicks,0,15,19763,19406,7,2,0,0,1,1999-2000,POFF,16
Seattle SuperSonics,0,4,16672,19911,4,0,1,1,0,1999-2000,POFF,5
Philadelphia 76ers,1,16,20806,16349,3,0,2,1,2,1999-2000,POFF,10
Phoenix Suns,0,12,19023,19905,3,0,0,0,0,1999-2000,POFF,9
Portland Trailblazers,0,26,20217,19192,8,0,1,0,0,1999-2000,POFF,16
Sacramento Kings,0,7,17317,18997,2,0,0,0,1,1999-2000,POFF,5
San Antonio Spurs,0,7,21267,19023,0,0,0,0,0,1999-2000,POFF,4
Toronto Raptors,0,1,19996,19763,1,0,0,0,0,1999-2000,POFF,3
Utah Jazz,1,10,19854,18840,6,0,2,0,1,1999-2000,POFF,10
Atlanta Hawks,0,108,13799,16404,46,2,2,0,3,2000-2001,REG,82
Boston Celtics,2,118,15346,16568,48,0,3,5,3,2000-2001,REG,82
Chicago Bulls,0,104,21674,16448,42,1,7,0,3,2000-2001,REG,82
Cleveland Cavaliers,1,122,15873,16064,45,0,10,1,1,2000-2001,REG,82
Dallas Mavericks,3,117,16662,15848,54,1,8,1,2,2000-2001,REG,82
Denver Nuggets,1,114,14995,16363,32,1,9,4,1,2000-2001,REG,82
Detroit Pistons,1,106,14813,16397,47,0,4,5,6,2000-2001,REG,82
Golden State Warriors,0,101,14439,16059,38,1,3,0,5,2000-2001,REG,82
Houston Rockets,1,122,12648,16714,38,2,2,4,3,2000-2001,REG,82
Indiana Pacers,2,99,17849,16508,40,4,10,0,2,2000-2001,REG,82
Los Angeles Clippers,0,97,14673,15824,45,1,7,1,3,2000-2001,REG,82
Los Angeles Lakers,1,135,18935,19631,40,3,6,4,0,2000-2001,REG,82
Vancouver Grizzlies,0,104,13737,15822,43,0,3,0,9,2000-2001,REG,82
Miami Heat,0,97,16541,17098,44,0,3,4,2,2000-2001,REG,82
Milwaukee Bucks,2,100,16722,16353,55,1,8,5,3,2000-2001,REG,82
Minnesota Timberwolves,0,120,17497,16788,42,1,2,5,4,2000-2001,REG,82
New Jersey Nets,0,140,13575,16085,35,1,2,2,5,2000-2001,REG,82
Charlotte Hornets,0,89,15010,16500,47,1,3,1,0,2000-2001,REG,82
New York Knicks,0,92,19763,17791,47,2,7,3,1,2000-2001,REG,82
Seattle SuperSonics,0,132,15714,16568,46,0,4,2,5,2000-2001,REG,82
Orlando Magic,3,123,14775,16810,52,1,6,0,4,2000-2001,REG,82
Philadelphia 76ers,2,114,19651,18583,55,2,2,3,4,2000-2001,REG,82
Phoenix Suns,1,119,17979,17158,47,1,6,2,2,2000-2001,REG,82
Portland Trailblazers,2,112,20277,17002,37,2,21,9,3,2000-2001,REG,82
Sacramento Kings,0,120,17317,18438,36,0,3,6,1,2000-2001,REG,82
San Antonio Spurs,0,97,22273,16690,35,0,4,10,1,2000-2001,REG,82
Toronto Raptors,0,117,19348,17611,31,1,6,2,2,2000-2001,REG,82
Utah Jazz,0,118,19322,16990,46,1,8,3,1,2000-2001,REG,82
Washington Wizards,1,121,15577,15872,37,2,3,0,3,2000-2001,REG,82
Dallas Mavericks,1,18,18228,24211,10,0,3,0,0,2000-2001,POFF,10
Indiana Pacers,0,6,18345,20676,1,0,0,0,0,2000-2001,POFF,4
Los Angeles Lakers,0,23,18997,23693,7,0,1,1,0,2000-2001,POFF,16
Miami Heat,0,3,18293,22283,2,0,0,0,0,2000-2001,POFF,3
Milwaukee Bucks,2,16,18717,19796,5,1,1,0,0,2000-2001,POFF,18
Minnesota Timberwolves,0,6,17006,32871,2,0,0,0,0,2000-2001,POFF,4
Charlotte Hornets,0,16,20485,18576,1,0,1,0,0,2000-2001,POFF,10
New York Knicks,0,5,19763,20250,2,0,0,0,0,2000-2001,POFF,5
Orlando Magic,0,6,17248,18717,0,0,0,0,0,2000-2001,POFF,4
Philadelphia 76ers,1,37,20892,19212,14,0,0,1,0,2000-2001,POFF,23
Phoenix Suns,0,6,18930,17317,2,0,0,0,0,2000-2001,POFF,4
Portland Trailblazers,0,5,20580,18997,1,0,2,0,0,2000-2001,POFF,3
Sacramento Kings,0,15,17317,18963,3,0,1,0,0,2000-2001,POFF,8
San Antonio Spurs,0,20,31961,18072,3,0,1,0,1,2000-2001,POFF,13
Toronto Raptors,0,14,20357,20405,5,0,0,0,1,2000-2001,POFF,12
Utah Jazz,0,3,19641,18244,3,0,4,0,0,2000-2001,POFF,5
Atlanta Hawks,2,104,12344,16316,17,9,2,2,7,2001-2002,REG,82
Boston Celtics,1,116,16091,17576,16,11,4,4,4,2001-2002,REG,82
Chicago Bulls,0,120,18934,16001,34,16,5,0,6,2001-2002,REG,82
Cleveland Cavaliers,2,114,14539,15809,23,13,4,2,4,2001-2002,REG,82
Dallas Mavericks,2,118,19580,17049,21,21,5,2,0,2001-2002,REG,82
Denver Nuggets,1,123,15460,16397,17,16,5,0,7,2001-2002,REG,82
Detroit Pistons,1,107,18556,16417,27,8,4,2,5,2001-2002,REG,82
Golden State Warriors,1,136,14468,16203,28,21,5,0,5,2001-2002,REG,82
Houston Rockets,0,115,11737,16552,31,17,6,0,6,2001-2002,REG,82
Indiana Pacers,1,122,16745,16651,25,18,8,3,0,2001-2002,REG,82
Los Angeles Clippers,0,127,18053,16569,18,7,3,1,3,2001-2002,REG,82
Los Angeles Lakers,3,135,18995,20103,29,19,7,4,1,2001-2002,REG,82
Memphis Grizzlies,1,112,14415,15842,18,25,3,1,3,2001-2002,REG,82
Miami Heat,0,90,15989,16702,20,4,4,3,4,2001-2002,REG,82
Milwaukee Bucks,3,107,18178,17043,49,20,4,2,2,2001-2002,REG,82
Minnesota Timberwolves,1,107,17846,16962,23,12,7,4,0,2001-2002,REG,82
New Jersey Nets,0,121,13761,16403,25,26,3,4,3,2001-2002,REG,82
Charlotte Hornets,0,120,11286,16458,21,11,7,4,0,2001-2002,REG,82
New York Knicks,2,110,19763,17083,19,10,6,0,4,2001-2002,REG,82
Seattle SuperSonics,0,109,15452,16013,22,26,3,5,2,2001-2002,REG,82
Orlando Magic,0,117,15149,17346,19,12,3,4,3,2001-2002,REG,82
