Team,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Season,Season Type,Match Count
Los Angeles Lakers,3,111,18997,18867,44,25,2,2,5,2012-2013,REG,82
Memphis Grizzlies,1,115,16625,17195,21,35,1,1,1,2012-2013,REG,82
Miami Heat,3,122,19983,19091,26,26,0,4,0,2012-2013,REG,82
Milwaukee Bucks,8,104,15036,16920,25,30,8,1,0,2012-2013,REG,82
Minnesota Timberwolves,1,91,16340,17034,38,44,3,2,2,2012-2013,REG,82
New Orleans Hornets,6,116,13803,17254,16,41,0,0,1,2012-2013,REG,82
New York Knicks,2,109,19033,18271,12,31,7,2,2,2012-2013,REG,82
Oklahoma City Thunder,3,130,18203,18336,30,41,3,6,0,2012-2013,REG,82
Orlando Magic,6,107,17627,16822,14,24,1,0,3,2012-2013,REG,82
Philadelphia 76ers,4,76,16717,17323,10,39,0,2,5,2012-2013,REG,82
Phoenix Suns,1,104,15437,17152,14,43,3,1,4,2012-2013,REG,82
Portland Trailblazers,2,108,19830,16728,22,22,0,1,7,2012-2013,REG,82
Sacramento Kings,5,128,13750,17306,17,36,5,0,3,2012-2013,REG,82
San Antonio Spurs,3,124,18432,17291,8,35,3,5,0,2012-2013,REG,82
Toronto Raptors,8,110,18145,16314,33,33,3,4,0,2012-2013,REG,82
Utah Jazz,0,116,18632,16769,24,34,0,4,2,2012-2013,REG,82
Washington Wizards,11,90,16343,16194,15,19,2,0,7,2012-2013,REG,82
Atlanta Hawks,0,1,18239,18165,0,0,0,0,0,2012-2013,POFF,6
Brooklyn Nets,1,13,17732,21747,3,2,0,0,0,2012-2013,POFF,7
Boston Celtics,0,7,18624,19033,2,0,0,0,0,2012-2013,POFF,6
Chicago Bulls,0,19,21981,18636,3,6,3,0,0,2012-2013,POFF,12
Denver Nuggets,0,10,19155,19596,6,2,0,1,0,2012-2013,POFF,6
Golden State Warriors,0,13,19596,18868,0,5,0,0,1,2012-2013,POFF,12
Houston Rockets,0,11,18200,18203,0,3,0,0,0,2012-2013,POFF,6
Indiana Pacers,1,25,18165,19146,5,9,1,0,1,2012-2013,POFF,19
Los Angeles Clippers,1,10,19344,18119,4,1,1,0,0,2012-2013,POFF,6
Los Angeles Lakers,0,7,18997,18581,1,0,1,0,1,2012-2013,POFF,4
Memphis Grizzlies,0,30,18119,18726,0,2,1,0,0,2012-2013,POFF,15
Miami Heat,2,40,19903,19179,3,4,1,2,0,2012-2013,POFF,23
Milwaukee Bucks,1,5,18441,20052,1,4,0,0,2,2012-2013,POFF,4
New York Knicks,0,17,19033,18395,1,2,1,1,0,2012-2013,POFF,12
Oklahoma City Thunder,0,16,18203,18168,2,3,0,0,0,2012-2013,POFF,11
San Antonio Spurs,0,29,18581,19318,3,7,0,1,0,2012-2013,POFF,21
Atlanta Hawks,11,119,14340,17274,4,32,1,3,0,2013-2014,REG,82
Brooklyn Nets,4,122,17252,17528,22,47,2,7,2,2013-2014,REG,82
Boston Celtics,2,109,18107,17495,20,27,4,4,7,2013-2014,REG,82
Charlotte Bobcats,1,104,15519,17027,34,25,0,3,1,2013-2014,REG,82
Chicago Bulls,2,103,21716,17552,12,31,3,4,3,2013-2014,REG,82
Cleveland Cavaliers,0,111,17330,17388,9,43,2,2,4,2013-2014,REG,82
Dallas Mavericks,4,110,19951,17269,22,50,2,3,0,2013-2014,REG,82
Denver Nuggets,6,119,16900,17212,30,31,4,2,5,2013-2014,REG,82
Detroit Pistons,3,129,15025,17281,39,25,6,2,4,2013-2014,REG,82
Golden State Warriors,8,99,19596,17526,15,38,3,5,1,2013-2014,REG,82
Houston Rockets,3,139,18124,17428,35,30,0,6,3,2013-2014,REG,82
Indiana Pacers,4,120,17501,17872,8,37,3,2,3,2013-2014,REG,82
Los Angeles Clippers,9,134,19212,17219,14,35,3,8,1,2013-2014,REG,82
Los Angeles Lakers,10,143,18829,17846,8,35,2,1,7,2013-2014,REG,82
Memphis Grizzlies,0,109,16718,17269,16,34,1,2,1,2013-2014,REG,82
Miami Heat,6,143,19781,19191,26,41,2,3,1,2013-2014,REG,82
Milwaukee Bucks,3,72,13465,17014,23,28,2,1,9,2013-2014,REG,82
Minnesota Timberwolves,1,156,14565,17606,22,37,1,4,2,2013-2014,REG,82
New Orleans Pelicans,9,136,16391,17397,17,41,1,1,4,2013-2014,REG,82
New York Knicks,4,102,19812,17422,6,36,1,3,3,2013-2014,REG,82
Oklahoma City Thunder,4,126,18203,18170,44,45,3,3,0,2013-2014,REG,82
Orlando Magic,3,125,16245,16584,13,30,2,0,2,2013-2014,REG,82
Philadelphia 76ers,1,127,13869,17441,12,36,1,0,10,2013-2014,REG,82
Phoenix Suns,4,112,15872,17250,31,36,3,2,1,2013-2014,REG,82
Portland Trailblazers,2,120,19747,17313,22,21,4,0,1,2013-2014,REG,82
Sacramento Kings,1,156,16291,16860,32,43,7,1,0,2013-2014,REG,82
San Antonio Spurs,3,130,18415,17606,7,35,1,6,2,2013-2014,REG,82
Toronto Raptors,2,142,18252,16703,10,48,1,2,0,2013-2014,REG,82
Utah Jazz,1,147,18176,17296,16,38,0,0,6,2013-2014,REG,82
Washington Wizards,6,120,17026,17192,10,31,3,5,2,2013-2014,REG,82
Atlanta Hawks,3,8,18737,18165,1,5,0,0,0,2013-2014,POFF,7
Brooklyn Nets,2,19,17732,19965,6,3,0,0,0,2013-2014,POFF,12
Charlotte Bobcats,0,8,19363,19622,0,1,0,0,0,2013-2014,POFF,4
Chicago Bulls,1,9,21703,20356,0,2,0,0,1,2013-2014,POFF,5
Dallas Mavericks,0,10,20744,18581,1,7,1,0,0,2013-2014,POFF,7
Golden State Warriors,2,7,19596,19527,1,2,0,0,1,2013-2014,POFF,7
Houston Rockets,0,8,18267,20251,3,2,0,0,0,2013-2014,POFF,6
Indiana Pacers,0,29,18165,19594,1,4,0,1,1,2013-2014,POFF,19
Los Angeles Clippers,2,15,19510,18900,3,5,0,1,0,2013-2014,POFF,13
Memphis Grizzlies,0,10,18119,18203,0,2,0,0,1,2013-2014,POFF,7
Miami Heat,2,23,19769,18443,7,7,0,1,1,2013-2014,POFF,20
Oklahoma City Thunder,3,19,18203,18729,5,11,0,1,0,2013-2014,POFF,19
Portland Trailblazers,3,17,20243,18424,2,2,0,0,1,2013-2014,POFF,11
San Antonio Spurs,1,26,18581,19710,1,8,0,1,0,2013-2014,POFF,23
Toronto Raptors,0,12,20258,17732,1,2,0,0,0,2013-2014,POFF,7
Washington Wizards,0,10,20185,19934,2,8,1,1,0,2013-2014,POFF,11
Atlanta Hawks,4,99,17412,17582,12,51,1,4,0,2014-2015,REG,82
Brooklyn Nets,1,117,17037,17949,23,40,1,2,2,2014-2015,REG,82
Boston Celtics,3,107,17594,17742,6,27,4,4,3,2014-2015,REG,82
Charlotte Hornets,2,129,17192,17654,17,24,0,2,3,2014-2015,REG,82
Chicago Bulls,4,117,21872,18405,8,15,2,0,1,2014-2015,REG,82
Cleveland Cavaliers,1,120,20562,18916,13,47,0,3,0,2014-2015,REG,82
Dallas Mavericks,3,99,20188,17653,16,39,2,5,1,2014-2015,REG,82
Denver Nuggets,6,120,14700,17429,29,26,2,0,4,2014-2015,REG,82
Detroit Pistons,9,121,15266,17866,18,18,1,1,1,2014-2015,REG,82
Golden State Warriors,7,104,19596,18312,14,53,1,5,1,2014-2015,REG,82
Houston Rockets,9,93,18230,17970,31,38,1,5,2,2014-2015,REG,82
Indiana Pacers,11,93,16864,17893,7,31,2,3,6,2014-2015,REG,82
Los Angeles Clippers,9,95,19168,18079,21,21,5,8,0,2014-2015,REG,82
Los Angeles Lakers,7,106,18738,17875,12,34,2,0,7,2014-2015,REG,82
Memphis Grizzlies,1,128,17329,18017,6,39,1,2,5,2014-2015,REG,82
Miami Heat,0,113,19713,17703,30,40,3,4,3,2014-2015,REG,82
Milwaukee Bucks,0,117,14908,17703,18,48,1,5,1,2014-2015,REG,82
Minnesota Timberwolves,0,136,14528,18001,23,36,1,0,9,2014-2015,REG,82
New Orleans Pelicans,1,133,16677,17641,9,40,1,5,2,2014-2015,REG,82
New York Knicks,2,99,19812,17463,30,32,2,0,9,2014-2015,REG,82
Oklahoma City Thunder,3,124,18203,17957,28,27,3,7,2,2014-2015,REG,82
Orlando Magic,1,108,16785,17586,11,42,2,2,5,2014-2015,REG,82
Philadelphia 76ers,2,110,13941,17665,34,32,0,1,12,2014-2015,REG,82
Phoenix Suns,1,133,16923,17586,26,53,6,0,2,2014-2015,REG,82
Portland Trailblazers,8,110,19546,17657,19,17,2,5,0,2014-2015,REG,82
Sacramento Kings,1,114,16587,17515,27,31,3,3,1,2014-2015,REG,82
San Antonio Spurs,1,132,18606,17972,8,34,2,7,1,2014-2015,REG,82
Toronto Raptors,5,107,19752,17523,17,52,2,3,2,2014-2015,REG,82
Utah Jazz,0,120,18831,17135,26,44,2,1,5,2014-2015,REG,82
Washington Wizards,4,105,18239,18253,10,26,2,5,2,2014-2015,REG,82
Atlanta Hawks,0,13,18381,19424,1,5,1,1,0,2014-2015,POFF,16
Brooklyn Nets,1,9,17732,18251,2,3,0,0,1,2014-2015,POFF,6
Boston Celtics,0,8,18624,20562,0,2,0,0,0,2014-2015,POFF,4
Chicago Bulls,0,17,22081,19640,1,5,1,1,0,2014-2015,POFF,12
Cleveland Cavaliers,1,20,20562,20039,3,8,1,0,0,2014-2015,POFF,20
Dallas Mavericks,1,5,20620,18235,0,4,0,0,0,2014-2015,POFF,5
Golden State Warriors,1,26,19596,18945,0,12,0,1,1,2014-2015,POFF,21
Houston Rockets,1,23,18264,19788,6,2,2,1,0,2014-2015,POFF,17
Los Angeles Clippers,0,23,19461,18413,3,7,0,0,1,2014-2015,POFF,14
Memphis Grizzlies,0,15,18119,19655,0,6,0,2,1,2014-2015,POFF,11
Milwaukee Bucks,0,10,18717,21762,0,5,2,0,1,2014-2015,POFF,6
New Orleans Pelicans,0,7,18444,19596,0,1,0,0,0,2014-2015,POFF,4
Portland Trailblazers,1,7,19743,18119,0,2,0,0,2,2014-2015,POFF,5
San Antonio Spurs,1,6,18581,19488,0,5,0,1,0,2014-2015,POFF,7
Toronto Raptors,0,6,19800,20356,1,7,0,0,0,2014-2015,POFF,4
Washington Wizards,0,8,20356,18947,0,5,0,0,0,2014-2015,POFF,10
Atlanta Hawks,3,122,16833,17611,19,42,1,6,0,2015-2016,REG,82
Brooklyn Nets,2,122,15125,18106,14,35,1,0,2,2015-2016,REG,82
Boston Celtics,3,119,18270,17440,5,35,1,3,1,2015-2016,REG,82
Charlotte Hornets,5,121,17485,17784,12,33,1,3,2,2015-2016,REG,82
Chicago Bulls,6,123,21821,18156,5,26,2,5,2,2015-2016,REG,82
Cleveland Cavaliers,6,127,20562,18910,26,39,3,3,0,2015-2016,REG,82
Dallas Mavericks,4,102,20144,17727,20,44,3,3,3,2015-2016,REG,82
Denver Nuggets,4,124,14095,17751,29,26,0,1,2,2015-2016,REG,82
Detroit Pistons,4,110,16516,17814,24,25,2,3,2,2015-2016,REG,82
Golden State Warriors,2,135,19596,19134,10,40,0,6,0,2015-2016,REG,82
Houston Rockets,8,121,17982,17741,40,30,2,3,4,2015-2016,REG,82
Indiana Pacers,5,118,16847,17852,18,29,1,1,2,2015-2016,REG,82
Los Angeles Clippers,9,95,19193,17793,28,31,4,11,0,2015-2016,REG,82
Los Angeles Lakers,9,113,18997,19150,13,23,3,0,11,2015-2016,REG,82
Memphis Grizzlies,1,128,17119,17590,9,42,3,1,2,2015-2016,REG,82
Miami Heat,2,116,19740,18044,31,25,3,2,1,2015-2016,REG,82
Milwaukee Bucks,2,116,15166,17623,34,35,6,2,4,2015-2016,REG,82
Minnesota Timberwolves,1,155,14175,17832,31,41,1,0,6,2015-2016,REG,82
New Orleans Pelicans,1,114,16794,17851,13,72,1,1,2,2015-2016,REG,82
New York Knicks,0,138,19812,18441,15,27,3,1,4,2015-2016,REG,82
Oklahoma City Thunder,2,140,18203,18259,14,30,1,4,1,2015-2016,REG,82
Orlando Magic,1,123,17543,17175,10,36,0,3,5,2015-2016,REG,82
Philadelphia 76ers,10,98,14881,17492,30,23,0,1,6,2015-2016,REG,82
Phoenix Suns,3,114,17107,17303,8,28,1,0,6,2015-2016,REG,82
Portland Trailblazers,10,111,19368,17704,31,20,2,1,3,2015-2016,REG,82
Sacramento Kings,6,128,17257,17355,28,27,4,4,2,2015-2016,REG,82
San Antonio Spurs,4,135,18450,17938,13,28,2,4,1,2015-2016,REG,82
Toronto Raptors,3,115,19826,17163,24,67,4,2,1,2015-2016,REG,82
Utah Jazz,6,117,19305,17378,14,26,2,4,2,2015-2016,REG,82
Washington Wizards,1,141,17693,17787,12,32,3,1,2,2015-2016,REG,82
Atlanta Hawks,0,13,19012,19399,4,8,0,1,0,2015-2016,POFF,10
Boston Celtics,0,16,18624,18980,0,0,0,0,1,2015-2016,POFF,6
Charlotte Hornets,0,11,19465,19701,1,1,0,0,1,2015-2016,POFF,7
Cleveland Cavaliers,2,23,20562,20077,1,8,0,2,0,2015-2016,POFF,21
Dallas Mavericks,0,5,20333,18203,0,0,0,0,2,2015-2016,POFF,5
Detroit Pistons,0,6,21584,20562,0,0,0,0,0,2015-2016,POFF,4
Golden State Warriors,1,35,19596,19195,3,15,3,3,2,2015-2016,POFF,23
Houston Rockets,1,4,18200,19596,3,2,0,0,2,2015-2016,POFF,5
Indiana Pacers,0,7,18165,20017,1,2,0,1,0,2015-2016,POFF,7
Los Angeles Clippers,0,9,19103,19712,1,0,0,0,1,2015-2016,POFF,6
Memphis Grizzlies,0,0,18119,18418,1,4,0,0,0,2015-2016,POFF,4
Miami Heat,1,21,19691,19931,5,4,0,1,1,2015-2016,POFF,14
Oklahoma City Thunder,0,26,18203,19339,3,3,1,2,0,2015-2016,POFF,17
Portland Trailblazers,1,14,19678,19350,6,1,1,1,1,2015-2016,POFF,11
San Antonio Spurs,1,18,18418,18169,2,2,0,0,0,2015-2016,POFF,10
Toronto Raptors,0,24,20215,19468,6,6,0,1,1,2015-2016,POFF,20
Atlanta Hawks,0,9,18797,20356,2,2,0,1,0,2016-2017,POFF,6
Boston Celtics,2,28,18624,20879,7,11,1,1,2,2016-2017,POFF,18
Chicago Bulls,0,6,21613,18624,1,2,0,0,1,2016-2017,POFF,6
Cleveland Cavaliers,1,26,20562,19067,7,5,1,3,0,2016-2017,POFF,17
Golden State Warriors,3,27,19596,19785,3,6,0,5,1,2016-2017,POFF,16
Houston Rockets,0,17,18077,18332,4,2,1,1,0,2016-2017,POFF,11
Indiana Pacers,0,5,17923,20562,1,2,0,0,0,2016-2017,POFF,4
Los Angeles Clippers,1,6,19088,19911,1,1,0,1,0,2016-2017,POFF,7
Memphis Grizzlies,0,13,18119,18418,0,2,0,0,0,2016-2017,POFF,6
Milwaukee Bucks,1,8,18717,20154,3,2,0,1,0,2016-2017,POFF,6
Oklahoma City Thunder,0,2,18203,18055,2,0,0,0,0,2016-2017,POFF,5
Portland Trailblazers,1,3,20040,19596,0,1,0,0,1,2016-2017,POFF,4
San Antonio Spurs,2,34,18471,18481,4,4,1,0,2,2016-2017,POFF,16
Toronto Raptors,0,18,20230,19455,4,3,0,0,1,2016-2017,POFF,10
Utah Jazz,0,14,19911,19257,0,5,0,0,4,2016-2017,POFF,11
Washington Wizards,2,33,20356,18698,4,5,2,0,1,2016-2017,POFF,13
Atlanta Hawks,2,130,15959,17817,23,38,3,3,4,2016-2017,REG,82
Brooklyn Nets,2,157,15429,17755,6,30,1,1,2,2016-2017,REG,82
Boston Celtics,5,126,18553,18313,13,24,2,4,1,2016-2017,REG,82
Charlotte Hornets,8,145,17333,17564,11,43,1,2,1,2016-2017,REG,82
Chicago Bulls,4,136,21680,18033,11,34,5,3,3,2016-2017,REG,82
Cleveland Cavaliers,4,139,20562,19021,11,35,1,2,1,2016-2017,REG,82
Dallas Mavericks,4,98,19789,17519,17,34,3,2,3,2016-2017,REG,82
Denver Nuggets,6,138,14770,17420,16,21,3,4,6,2016-2017,REG,82
Detroit Pistons,2,110,15979,17700,24,20,2,4,2,2016-2017,REG,82
Golden State Warriors,8,130,19596,19015,28,55,3,7,1,2016-2017,REG,82
Houston Rockets,4,134,16973,18141,18,27,2,2,1,2016-2017,REG,82
Indiana Pacers,10,130,16697,17848,10,25,5,0,3,2016-2017,REG,82
Los Angeles Clippers,11,129,19088,17890,13,28,8,4,2,2016-2017,REG,82
Los Angeles Lakers,14,132,18949,18192,19,34,4,2,3,2016-2017,REG,82
Memphis Grizzlies,4,116,16520,17656,13,48,4,3,4,2016-2017,REG,82
Miami Heat,0,135,19644,17819,29,25,4,3,0,2016-2017,REG,82
Milwaukee Bucks,0,156,15828,17928,22,34,2,2,2,2016-2017,REG,82
Minnesota Timberwolves,0,156,14810,18102,28,85,1,1,0,2016-2017,REG,82
New Orleans Pelicans,1,148,16173,18063,10,58,2,0,1,2016-2017,REG,82
New York Knicks,5,125,19774,17928,10,24,6,0,3,2016-2017,REG,82
Oklahoma City Thunder,2,131,18203,18374,24,40,1,1,2,2016-2017,REG,82
Orlando Magic,1,125,17753,17334,30,35,1,2,3,2016-2017,REG,82
Philadelphia 76ers,5,110,17331,17209,21,27,1,0,5,2016-2017,REG,82
Phoenix Suns,0,152,17284,17619,23,39,5,1,6,2016-2017,REG,82
Portland Trailblazers,8,139,19318,17556,20,18,1,1,4,2016-2017,REG,82
Sacramento Kings,6,140,17608,17489,12,38,3,1,1,2016-2017,REG,82
San Antonio Spurs,7,108,18423,18131,15,22,2,2,0,2016-2017,REG,82
Toronto Raptors,9,117,19830,17926,17,37,4,1,1,2016-2017,REG,82
Utah Jazz,2,142,19662,17212,14,31,1,5,0,2016-2017,REG,82
Washington Wizards,3,142,17003,17949,5,36,8,3,1,2016-2017,REG,82
Atlanta Hawks,6,106,14277,17613,15,43,1,1,5,2017-2018,REG,69
Brooklyn Nets,11,121,15801,17236,4,29,2,0,2,2017-2018,REG,68
Boston Celtics,3,83,18624,18608,13,33,0,3,0,2017-2018,REG,68
Charlotte Hornets,12,141,16355,17588,23,22,2,1,1,2017-2018,REG,69
Chicago Bulls,7,113,20672,17946,7,35,3,2,6,2017-2018,REG,68
Cleveland Cavaliers,6,115,20562,18893,9,32,3,1,2,2017-2018,REG,68
Dallas Mavericks,4,91,19770,17173,17,23,1,3,2,2017-2018,REG,68
Denver Nuggets,10,131,17153,17600,30,25,3,3,2,2017-2018,REG,69
Detroit Pistons,0,93,17232,17887,28,25,0,3,2,2017-2018,REG,68
Golden State Warriors,8,95,19596,19080,21,44,9,1,0,2017-2018,REG,68
Houston Rockets,19,107,17862,18304,21,34,3,6,1,2017-2018,REG,68
Indiana Pacers,3,103,15845,17903,16,21,0,4,3,2017-2018,REG,69
Los Angeles Clippers,1,95,16961,17682,11,15,3,3,3,2017-2018,REG,67
Los Angeles Lakers,5,109,18920,18792,15,16,2,1,3,2017-2018,REG,68
Memphis Grizzlies,2,99,15851,17703,6,30,5,0,2,2017-2018,REG,68
Miami Heat,5,111,19619,18164,15,22,1,2,0,2017-2018,REG,69
Milwaukee Bucks,6,117,16476,17991,26,28,2,4,1,2017-2018,REG,68
Minnesota Timberwolves,6,121,16939,17664,16,36,6,6,1,2017-2018,REG,69
New Orleans Pelicans,6,126,16296,17844,8,31,5,2,5,2017-2018,REG,68
New York Knicks,6,109,19353,18105,16,24,0,0,0,2017-2018,REG,69
Oklahoma City Thunder,1,119,18203,18911,23,36,1,5,0,2017-2018,REG,70
Orlando Magic,3,94,17996,17612,11,13,2,1,5,2017-2018,REG,69
Philadelphia 76ers,7,87,20549,18070,7,27,1,4,0,2017-2018,REG,67
Phoenix Suns,1,117,16680,17400,10,26,7,1,7,2017-2018,REG,70
Portland Trailblazers,5,94,19334,17439,7,24,0,1,1,2017-2018,REG,68
Sacramento Kings,4,102,17583,17370,17,28,0,1,5,2017-2018,REG,69
San Antonio Spurs,9,87,18395,18395,12,16,2,2,2,2017-2018,REG,69
Toronto Raptors,10,135,19836,17471,18,28,4,0,2,2017-2018,REG,68
Utah Jazz,4,110,17843,17084,21,47,4,2,1,2017-2018,REG,69
Washington Wizards,4,119,17825,17453,6,30,3,4,3,2017-2018,REG,69
,,,,,,,,,,,,